,z,t,theta_train
772,-7.0,0.228,0.3409785901676308
773,-7.0,0.24,0.3528074164436427
774,-7.0,0.252,0.3562624474491601
775,-7.0,0.264,0.355047755014292
776,-7.0,0.276,0.35108273467447154
777,-7.0,0.28800000000000003,0.34948592817772267
778,-7.0,0.3,0.3445779319172037
779,-7.0,0.312,0.33499791589317973
780,-7.0,0.324,0.3309066243654475
781,-7.0,0.336,0.3331838339215345
782,-7.0,0.34800000000000003,0.3328103963007204
783,-7.0,0.36,0.3216505035709972
784,-7.0,0.37200000000000005,0.3287263771117252
785,-7.0,0.384,0.3295167617998967
786,-7.0,0.396,0.3294052051679394
787,-7.0,0.408,0.3265207945407961
788,-7.0,0.42,0.3059272430039416
789,-7.0,0.43200000000000005,0.31185873689880794
790,-7.0,0.444,0.3110127490926307
791,-7.0,0.456,0.32355144560941185
792,-7.0,0.46799999999999997,0.31882398714744986
793,-7.0,0.48,0.3035813294503773
794,-7.0,0.49200000000000005,0.30842754918395004
795,-7.0,0.504,0.3015972990849816
796,-7.0,0.516,0.30482241434982704
797,-7.0,0.528,0.3077427692044788
798,-7.0,0.54,0.3132121415463758
799,-7.0,0.552,0.294075997021659
800,-7.0,0.5640000000000001,0.2984439697692406
801,-7.0,0.5760000000000001,0.29924576097300215
802,-7.0,0.588,0.30420552252644045
803,-7.0,0.6,0.29986174544297167
804,-7.0,0.612,0.2861573314814804
805,-7.0,0.624,0.29650741691659643
806,-7.0,0.636,0.28746950848882735
807,-7.0,0.648,0.2955906338828416
808,-7.0,0.66,0.28294555123970133
809,-7.0,0.672,0.2903538992734301
810,-7.0,0.684,0.2873866947387061
811,-7.0,0.6960000000000001,0.2874789703304051
812,-7.0,0.708,0.28052279507341077
813,-7.0,0.72,0.27646981143785476
814,-7.0,0.732,0.2839530856441873
815,-7.0,0.7440000000000001,0.28766815617446573
816,-7.0,0.7559999999999999,0.2900789477695063
817,-7.0,0.768,0.28042726070166457
818,-7.0,0.78,0.27781195905978223
819,-7.0,0.792,0.27363759524725867
820,-7.0,0.804,0.2829509918985282
821,-7.0,0.8160000000000001,0.2767111252663959
822,-7.0,0.8280000000000001,0.2842074973051163
823,-7.0,0.84,0.28191321044051165
824,-7.0,0.852,0.2723252338384277
825,-7.0,0.8640000000000001,0.28036435576417224
826,-7.0,0.8759999999999999,0.27163362149662124
827,-7.0,0.888,0.2752917099426387
828,-7.0,0.9,0.2760236958905325
829,-7.0,0.912,0.2812138080383718
830,-7.0,0.924,0.2844006854110608
831,-7.0,0.9359999999999999,0.2765607225557241
832,-7.0,0.948,0.27199262979717803
833,-7.0,0.96,0.27602722360971327
834,-7.0,0.972,0.265501765417659
835,-7.0,0.9840000000000001,0.2679402387137994
836,-7.0,0.996,0.26078188079767245
837,-7.0,1.008,0.2686985673578636
838,-7.0,1.02,0.27103663773899034
839,-7.0,1.032,0.2763837274692505
840,-7.0,1.044,0.2603311808208212
841,-7.0,1.056,0.26443276424142115
842,-7.0,1.068,0.2568865317614821
843,-7.0,1.08,0.26983018582234686
844,-7.0,1.092,0.2657639477028397
845,-7.0,1.104,0.2618511633573269
846,-7.0,1.1159999999999999,0.2625943301518736
847,-7.0,1.128,0.263574235063213
848,-7.0,1.14,0.2599590872159034
849,-7.0,1.152,0.27101296285071835
850,-7.0,1.1640000000000001,0.25805235364503654
851,-7.0,1.176,0.2680025196175541
852,-7.0,1.188,0.26184029524381947
853,-7.0,1.2,0.26635675838098954
854,-7.0,1.212,0.2617830882505121
855,-7.0,1.224,0.26971348362676933
856,-7.0,1.236,0.2523628671991229
857,-7.0,1.248,0.26355538256510147
858,-7.0,1.26,0.2506685908334114
859,-7.0,1.272,0.2545148717434517
860,-7.0,1.284,0.25879854323335616
861,-7.0,1.296,0.25997487931514596
862,-7.0,1.308,0.2571485486907534
863,-7.0,1.32,0.24963074024152548
864,-7.0,1.3319999999999999,0.25496692527995696
865,-7.0,1.344,0.2587302085358529
866,-7.0,1.3559999999999999,0.25630393567021625
867,-7.0,1.368,0.25511348414271334
868,-7.0,1.38,0.25857122501607105
869,-7.0,1.392,0.25622442649848026
870,-7.0,1.404,0.25516832307503784
871,-7.0,1.416,0.26136169207389975
872,-7.0,1.4280000000000002,0.2586831742372114
873,-7.0,1.44,0.25179929227968545
874,-7.0,1.452,0.25448717427685313
875,-7.0,1.464,0.2569140582551779
876,-7.0,1.476,0.2519404645207139
877,-7.0,1.4880000000000002,0.24600381557423176
878,-7.0,1.5,0.2500847437324083
879,-7.0,1.5119999999999998,0.25314809068944055
880,-7.0,1.524,0.26368566385012776
881,-7.0,1.536,0.2525906796484376
882,-7.0,1.548,0.24951650937381362
883,-7.0,1.56,0.2603252592529093
884,-7.0,1.5719999999999998,0.25981609931647576
885,-7.0,1.584,0.25693299899861616
886,-7.0,1.5959999999999999,0.24610891757355532
887,-7.0,1.608,0.2552559111667221
888,-7.0,1.62,0.2541677835435998
889,-7.0,1.632,0.2611272712500742
890,-7.0,1.644,0.25365960547590577
891,-7.0,1.656,0.25783553839060647
892,-7.0,1.6680000000000001,0.24530239781751925
893,-7.0,1.68,0.2548887956313073
894,-7.0,1.692,0.2579888112287181
895,-7.0,1.704,0.25178186523248786
896,-7.0,1.716,0.2517404790358849
897,-7.0,1.7280000000000002,0.247110576934933
898,-7.0,1.74,0.25830763609918345
899,-7.0,1.7519999999999998,0.24988257165735864
900,-7.0,1.764,0.2515875541833019
901,-7.0,1.776,0.24949766719685357
